n,city,pop_m,year,cscaf,energy_mgj,gj_pc,ghg_mt,tco2e_pc,elec_mkwh,kwh_pc,file
1,Ahmedabad,7.18,2020-21,4,84.2,11.73,13.1,1.83,11690,1628,SOC_7-1.jpg
2,Coimbatore,1.89,2020-21,3,21.13,10.48,3.22,1.60,2192,1088,SOC_7-2.jpg
3,Gwalior,1.11,2013-14,2,8.76,7.89,1.19,1.08,735,662,SOC_7-3.jpg
4,Kochi,0.6,2018-19,2,1.74,28.29,1.61,2.62,523,847,SOC_7-4.jpg
5,Nagpur,2.4,2017-18,3,19.04,7.03,3.03,1.13,1822,678,SOC_7-5.jpg
6,Panaji,0.04,2013-14,2,1.19,29.05,0.14,3.52,92,2232,SOC_7-6.jpg
7,Pimpri-Chinchwad,1.7,2012-13,4,21.9,11.08,3.18,1.61,2641,1335,SOC_7-7.jpg
8,Rajkot,1.79,2020-21,4,17,9.5,2.27,1.26,1712,953,SOC_7-8.jpg
9,Shimla,0.14,2013-14,3,1.64,9.14,0.21,1.24,139,790,SOC_7-9.jpg
10,Siliguri,0.69,2020-21,2,16.22,23.52,1.67,2.43,507,735,SOC_7-10.jpg
11,Thane,1.84,2017-18,3,13.06,5.83,2.29,1.02,1677,749,SOC_7-11.jpg
12,Tiruchirappalli,1.02,2020-21,2,9.18,8.95,1.88,1.84,1155,1125,SOC_7-12.jpg
13,Tirunelveli,0.55,2020-21,2,4.8,8.76,0.66,1.2,448,810,SOC_7-13.jpg
14,Udaipur,0.53,2020-21,3,8.18,15.40,1.16,2.19,775,1460,SOC_7-14.jpg
15,Vadodara,2.24,2020-21,4,18.11,8.09,2.66,1.19,1865,832,SOC_7-15.jpg
